time_stamp,song,artist
2022-12-18 15:26:31,I'll Be Home For Christmas,Gene Harris
2022-12-18 15:28:56,All Night Long,Boney James
2022-12-18 15:33:45,Breakthrough,Cal Harris Jr.
2022-12-18 15:36:10,No Messin',Acoustic Alchemy
2022-12-18 15:42:46,Ready Or Not,Paula Atherton
2022-12-18 15:46:24,Girl In The Red Dress,Gregg Karukas
2022-12-18 15:52:25,Believe,Erin Stevenson/Paul Brown
2022-12-18 15:55:25,O Christmas Tree,Julian Vaughn
2022-12-18 15:59:37,NuJazzy,Bobby Lyle
2022-12-18 16:05:02,"Softly, As in a Morning Sunrise",George Benson
2022-12-18 16:08:40,Take It Home,Andrew Neu
2022-12-18 16:12:54,Angels We Have Heard on High,Vanessa Williams
2022-12-18 16:17:49,Turn Out the Lights,Warren Hill
2022-12-18 16:23:15,Sunrise,Larry Carlton
2022-12-18 16:26:50,Stickwidit,Carl Cox
2022-12-18 16:29:53,Santa Claus Is Coming to Town,Fourplay
2022-12-18 16:33:34,Take Five,Harvey Mason
2022-12-18 16:38:59,Missing You,Randal Clark
2022-12-18 16:43:50,Just What You Need,Brian Simpson
2022-12-18 16:49:49,Hustle,Jazz Funk Soul
2022-12-18 16:53:28,Blue Rondo,Philippe Saisse Trio
2022-12-18 16:56:33,I Can’t Wait For Christmas,Mindi Abair/Vincent Ingala/Lindsey Webster/Adam Hawley
2022-12-18 16:59:32,Crush,Blake Aaron
2022-12-18 17:04:58,Just Feelin' It,Michael Manson
2022-12-18 17:07:58,Coupe de Ville,Bona Fide
2022-12-18 17:11:35,Feliz Navidad,Pete Escovedo
2022-12-18 17:17:00,Have You Heard,Pat Metheny Group
2022-12-18 17:23:00,Mercy Mercy Me (The Ecology),Apostles
2022-12-18 17:28:24,Sandcastles,Brian Culbertson
2022-12-18 17:32:38,Jingle Bells,Jessy J/Jay Rowe
2022-12-18 17:36:49,What's Up,Bob James
2022-12-18 17:42:13,After We Play,Johnny Britt/Peter White
2022-12-18 17:45:50,The Sweetness,Down To The Bone
2022-12-18 17:49:27,After Party,David P Stevens
2022-12-18 17:53:05,I Can't Help It,Will Downing
2022-12-18 17:59:03,God Rest Ye Merry Gentlemen/My Favorite Things,Dave Koz
2022-12-18 18:02:05,Coastline Crusader,Paul Hardcastle
2022-12-18 18:06:17,Obsession Confession,Slash
2022-12-18 18:12:56,Trying To Get Back Home,Bill Heller
2022-12-18 18:16:32,Wonderful Christmastime,Brian Bromberg
2022-12-18 18:21:58,If I Didn't Have Love,Chelsea Nichole
2022-12-18 18:23:47,Third Encounter,David Benoit
2022-12-18 18:30:28,Superstar,Riley Richard
2022-12-18 18:34:44,God Rest Ye,Drew Davidsen
2022-12-18 18:38:25,Simple Pleasures,Spyro Gyra
2022-12-18 18:42:41,Love Planet,Mark Etheredge
2022-12-18 18:46:59,Night Drive,Norman Brown
2022-12-18 18:50:35,A Song For Peace,Greg Manning/Kirk Whalum
2022-12-18 18:56:01,All in My Mind,Pete Belasco
2022-12-18 18:59:39,Deck the Halls,Jonathan Fritzen
