time_stamp,song,artist
2022-12-12T23:35:50Z,El Alba,Camiel
2022-12-12T23:38:51Z,Wait and See,Karla Leal
2022-12-12T23:44:53Z,Any Love,Kirk Whalum
2022-12-12T23:46:53Z,Believe,Erin Stevenson/Paul Brown
2022-12-12T23:49:53Z,All I Want For Christmas,Herb Alpert
2022-12-12T23:53:54Z,The Drive,Geneve 5
2022-12-12T23:56:55Z,Co-Motion,Lemek
2022-12-13T00:00:55Z,The Promise,Urban Knights
2022-12-13T00:05:56Z,Static in the Attic,Chris Standring
2022-12-13T00:09:26Z,Christmas Time Is Here,Kem
2022-12-13T00:13:57Z,Paradigm Shift,Carol Albert
2022-12-13T00:17:57Z,Silk,Rick Braun
2022-12-13T00:21:28Z,LA By Bike,Lee Ritenour
2022-12-13T00:27:29Z,Bona Fide,Julian Vaughn
2022-12-13T00:31:29Z,A Coastal Breeze,A. Ray Fuller
2022-12-13T00:35:00Z,Feliz Navidad,Tom Scott
2022-12-13T00:39:30Z,Wild Tales,Rippingtons
2022-12-13T00:49:32Z,Buy Me Love,Chance Howard/Candy Dulfer
2022-12-13T00:50:02Z,God Rest Ye Merry Gentlemen/My Favorite Things,Dave Koz
2022-12-13T01:01:03Z,Flow,Ace Livingston
2022-12-13T01:03:33Z,Step To This,Nick Colionne
2022-12-13T08:27:42Z,After Party,David P Stevens
2022-12-13T08:31:12Z,Ride the D Train,Paul Hardcastle
2022-12-13T08:35:13Z,Eddie's Groove,Gerald Albright
2022-12-13T08:39:13Z,Dear Friend,Patrick Bradley
2022-12-13T08:45:14Z,She's in Love,Peter White/Christopher Cross
2022-12-13T08:48:15Z,What Child Is This,Jessy J
2022-12-13T08:52:15Z,Love Planet,Mark Etheredge
2022-12-13T09:00:16Z,City Lights,Brian Culbertson
2022-12-13T09:06:17Z,Silver Bells,Maysa/Gerald Albright
2022-12-13T09:10:18Z,I'll Love You,Joe Sample
2022-12-13T09:16:18Z,I'll Make Love to You,Kirk Whalum
2022-12-13T09:20:19Z,Let's Get Down Tonight,Adam Hawley
2022-12-13T09:24:20Z,The Little Drummer Boy,Dave Koz
2022-12-13T09:28:20Z,Let It Shine,Tim Bowman
2022-12-13T09:32:21Z,Convergency,Candy Dulfer
2022-12-13T09:34:51Z,Spin Cycle,Drew Davidsen
2022-12-13T09:39:52Z,Play,Michael Lington
2022-12-13T09:42:22Z,I'm OK,Lindsey Webster
2022-12-13T09:47:53Z,Silent Night,Julian Vaughn
2022-12-13T09:52:24Z,NuJazzy,Bobby Lyle
2022-12-13T09:57:55Z,London Lowdown,Ronny Jordan
2022-12-13T10:03:25Z,City Lights,Mike Phillips
2022-12-13T10:07:26Z,I'll Be Home for Christmas,Dianne Reeves
2022-12-13T10:11:57Z,Metropolis,Boney James
2022-12-13T10:14:57Z,Marina's Dream,Joyce Cooling
2022-12-13T10:20:58Z,And Now This,Paul Taylor
2022-12-13T10:24:28Z,Winter Wonderland,Herb Alpert/Jeff Lorber
2022-12-13T10:27:29Z,Is There A Doctor In The House?,Chris Standring
2022-12-13T10:33:00Z,Stickwidit,Carl Cox
2022-12-13T10:35:30Z,Wes Who?,Count Basic
2022-12-13T10:40:31Z,Highway 10,Ryan La Valette
2022-12-13T10:44:32Z,Everything's Changing,Jo Harrop
2022-12-13T10:47:32Z,The Christmas Song,Daryl Beebe
2022-12-13T10:51:33Z,Stone Cold,Pamela Williams
2022-12-13T10:56:34Z,Wake Up,Jonathan Butler
2022-12-13T11:00:34Z,Georgy Porgy,Mo Louis
2022-12-13T11:05:35Z,What Christmas Means,Kem
2022-12-13T11:12:36Z,Brother Earl,Paul Brown/Marc Antoine
2022-12-13T11:15:07Z,Candlelight,Richard Elliot
2022-12-13T11:19:07Z,Let It Breathe,Michael Broening
2022-12-13T11:23:08Z,Carol of the Bells,Nancy Wilson/New York Voices
2022-12-13T11:30:09Z,The Closer I Get to You,Peter White
2022-12-13T11:35:10Z,Perfect Timing,Lisa Addeo
2022-12-13T11:38:10Z,Hidden Agenda,GREG ADAMS
2022-12-13T11:42:41Z,Hustle,Jazz Funk Soul
2022-12-13T11:46:41Z,Show Me,Rebecca Jade
2022-12-13T11:50:42Z,The Most Wonderful Time Of The Year,Brian Bromberg
2022-12-13T11:55:43Z,Missing You,Randal Clark
2022-12-13T12:51:30Z,Colibri,Incognito
