time_stamp,song,artist
2022-12-14 11:33:49,The Rhythm Method,Paul Brown
2022-12-14 11:37:37,Stargazer,Randal Clark
2022-12-14 11:40:04,Coastin',Boney James/Lalah Hathaway
2022-12-14 11:44:18,This Christmas,Ragan Whiteside
2022-12-14 11:47:21,Coastline Crusader,Paul Hardcastle
2022-12-14 11:52:13,Lisa,Stanley Clarke
2022-12-14 11:57:51,After Party,David P Stevens
2022-12-14 12:01:42,O Holy Night,Warren Hill
2022-12-14 12:06:09,The Zodiac,Down to the Bone
2022-12-14 12:13:40,In the Moment,Gerald Albright/Norman Brown
2022-12-14 12:19:54,Perfect Timing,Lisa Addeo
2022-12-14 12:22:23,Silver Bells,Spencer Day
2022-12-14 12:27:25,Last Train Home,Pat Metheny Group
2022-12-14 12:32:24,Convergency,Candy Dulfer
2022-12-14 12:35:32,Double Down,Joe McBride
2022-12-14 12:39:15,Chances,Jacob Webb
2022-12-14 12:44:14,Stoned Soul Picnic,Ken Navarro
2022-12-14 12:48:36,It's Christmas,Jamie Cullum
2022-12-14 12:52:21,Force,Judah Sealy
2022-12-14 12:56:04,To Love Again,Chris Botti
2022-12-14 13:01:00,This Is The Good One,Kombo
2022-12-14 13:04:44,Winter Wonderland,Marcus Anderson/Julian Vaughn
2022-12-14 13:10:58,In & Out of Love,Patti Austin
2022-12-14 13:15:57,Backyard Brew,JT Project
2022-12-14 13:19:42,Turkish,Rick Braun
2022-12-14 13:23:28,We Three Kings,Nick Colionne
2022-12-14 13:29:41,It's a Beautiful Thing,Boney James
2022-12-14 13:33:27,Co-Motion,Lemek
2022-12-14 13:38:26,The Learning Curve,Stanley Clarke
2022-12-14 13:42:49,Kinetic,Groove Frequencies
2022-12-14 13:45:54,If I Didn't Have Love,Chelsea Nichole
2022-12-14 13:49:36,When It Snows On Christmas Day,Ronny Smith
2022-12-14 13:53:56,After We Play,Johnny Britt/Peter White
2022-12-14 13:57:37,Morning Samba,Brian Simpson
2022-12-14 14:01:54,New Day,Daryl Beebe
2022-12-14 14:05:36,Wait and See,Karla Leal
2022-12-14 14:08:42,The Conversation,Avenue Blue
2022-12-14 14:13:38,Christmas Time Is Here,Dave Koz and Friends
2022-12-14 14:17:57,Eternity,Lizz Wright
2022-12-14 14:21:05,Out To Lunch,Oli Silk
2022-12-14 14:24:12, ,
2022-12-14 14:24:49,Coupe de Ville,Bona Fide
2022-12-14 14:27:56,Route 101,Herb Alpert
2022-12-14 14:31:01,Breakthrough,Cal Harris Jr.
2022-12-14 14:34:44,Rain,Norman Brown
2022-12-14 14:42:47,Rain,Norman Brown
